dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,buggy,Accuracy_Pred,Accuracy_Pred_Prob,FMeasure_Pred,FMeasure_Pred_Prob,GMean_Pred,GMean_Pred_Prob,Function to be selected,PredictedTechnique,DSF_Prediction,DSF_Pred_Prob
2,0,5,9,1,1,4,1,2.0,49,0.0,0,0.909090909,0.75,1,1,23.5,1,0.5,True,False,0.4,True,0.6,True,0.6133333333333333,FMeasure,FMeasure,True,0.5971906784426056
1,0,1,3,3,1,0,3,2.0,3,0.0,0,0.0,1.0,0,0,0.0,1,1.0,False,False,0.0,False,0.0,False,0.0,FMeasure,FMeasure,False,0.0
2,0,8,17,78,0,8,13,2.0,49,0.0,0,0.5862068970000001,1.0,1,3,2.769230769,1,0.9231,False,False,0.13333333333333333,False,0.2428571428571429,False,0.2845238095238095,FMeasure,FMeasure,False,0.24183611213433728
2,0,5,7,1,1,4,1,2.0,17,0.0,0,0.909090909,0.75,1,2,7.5,1,0.5,False,False,0.0,False,0.0,False,0.0,FMeasure,FMeasure,False,0.0
1,0,10,23,253,2,8,23,2.0,23,0.0,0,0.0,0.255434783,0,0,0.0,1,1.0,False,False,0.0,False,0.0,False,0.0,FMeasure,FMeasure,False,0.0
1,0,3,18,26,3,0,13,0.75,134,1.0,0,0.0,0.512820513,0,0,8.923076923,1,0.8462,False,False,0.0,False,0.0,False,0.0,FMeasure,FMeasure,False,0.0
1,0,8,45,0,4,5,10,0.651515152,234,1.0,1,0.0,0.309090909,0,0,18.0,3,1.5833,True,False,0.0,False,0.0,False,0.0,FMeasure,FMeasure,False,0.0
1,0,23,48,274,22,1,23,0.8769841270000001,459,1.0,0,0.0,0.310344828,0,0,14.51724138,3,1.1724,False,False,0.5,False,0.0,False,0.0,FMeasure,FMeasure,False,0.006937082186181116
2,0,8,14,3,1,7,3,2.0,55,0.0,0,0.75,0.5555555560000001,0,0,17.33333333,2,1.0,False,False,0.0,False,0.0,False,0.0,FMeasure,FMeasure,False,0.0
2,0,8,17,78,0,8,13,2.0,49,0.0,0,0.5862068970000001,1.0,1,3,2.769230769,1,0.9231,False,False,0.13333333333333333,False,0.2428571428571429,False,0.2845238095238095,FMeasure,FMeasure,False,0.24183611213433728
2,0,7,6,1,6,1,2,2.0,16,0.0,0,0.923076923,1.0,0,0,7.0,1,0.5,False,False,0.0,False,0.0,False,0.0,FMeasure,FMeasure,False,0.0
1,0,16,53,8,1,15,2,1.232758621,364,1.0,0,0.0,0.52,0,0,66.0,8,3.2,False,True,0.8,True,0.8,True,0.8,FMeasure,FMeasure,True,0.7999999999999999
1,0,59,45,221,55,5,27,0.91958042,333,0.727272727,3,0.0,0.16296296300000002,1,1,10.92592593,7,1.2963,False,False,0.5,True,0.7,False,0.5,FMeasure,FMeasure,True,0.6950772250834842
1,15,17,5,1,15,2,3,0.5,17,1.0,0,0.0,0.666666667,0,0,4.333333333,1,0.6667,False,False,0.0,False,0.0,False,0.0,FMeasure,FMeasure,False,0.0
1,0,23,94,126,0,23,11,0.885964912,771,1.0,5,0.0,0.20242915,0,0,37.25,9,2.5,True,False,0.2,False,0.2,False,0.0,FMeasure,FMeasure,False,0.19785205795768723
1,0,25,41,3,16,9,3,0.666666667,261,1.0,1,0.0,0.333333333,0,0,35.71428571,4,1.5714,False,False,0.2,False,0.05,False,0.13333333333333333,FMeasure,FMeasure,False,0.05297610050670569
2,0,5,9,1,1,4,1,2.0,69,1.0,0,0.909090909,0.75,2,2,32.0,7,3.5,False,False,0.0,False,0.4,False,0.3,FMeasure,FMeasure,False,0.3933707658732063
2,0,23,61,6,1,22,2,0.761904762,413,1.0,1,0.7307692309999999,0.3,1,3,49.875,6,2.375,True,False,0.0,False,0.0,False,0.2,FMeasure,FMeasure,False,0.003203890349227977
1,0,4,1,0,2,2,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,False,False,0.0,False,0.0,False,0.0,FMeasure,FMeasure,False,0.0
1,0,3,7,1,2,1,1,2.0,32,0.0,0,0.0,0.5,0,0,15.0,2,1.0,False,False,0.3,False,0.1,False,0.0,FMeasure,FMeasure,False,0.10164321891498268
2,0,8,14,3,1,7,3,2.0,55,0.0,0,0.75,0.5555555560000001,0,0,17.33333333,2,1.0,False,False,0.0,False,0.0,False,0.0,FMeasure,FMeasure,False,0.0
1,0,6,18,21,3,3,10,0.666666667,174,1.0,0,0.0,0.533333333,0,0,16.0,19,2.7,False,False,0.0,False,0.04,False,0.05,FMeasure,FMeasure,False,0.03954805341826366
1,0,8,5,10,3,5,5,2.0,5,0.0,0,0.0,0.433333333,0,0,0.0,1,1.0,False,False,0.0,False,0.0,False,0.0,FMeasure,FMeasure,False,0.0
1,0,4,14,0,1,3,2,0.0,78,1.0,0,0.0,0.666666667,0,0,37.5,3,1.5,False,False,0.0,False,0.0,False,0.0,FMeasure,FMeasure,False,0.0
1,0,18,17,16,16,2,9,0.525,112,1.0,1,0.0,0.472222222,0,0,10.88888889,2,0.7778,False,False,0.0,False,0.05,False,0.0,FMeasure,FMeasure,False,0.04850114196943733
2,0,10,9,9,10,0,4,0.857142857,91,0.428571429,5,0.764705882,0.4,1,1,13.0,1,0.6667,False,False,0.0,False,0.0,False,0.0,FMeasure,FMeasure,False,0.0
1,0,15,50,68,0,15,12,0.816666667,365,1.0,7,0.0,0.2,0,0,21.3125,4,1.4375,False,False,0.0,False,0.1,False,0.0,FMeasure,FMeasure,False,0.09753861216903006
2,0,11,43,1,0,11,2,1.0,243,1.0,1,0.75,0.44,2,2,37.83333333,4,1.8333,False,False,0.37333333333333335,False,0.05,False,0.1,FMeasure,FMeasure,False,0.05502324852286228
2,0,31,8,6,30,1,3,0.875,79,0.333333333,5,0.8125,0.4166666670000001,1,1,13.6,1,0.6,False,False,0.0,False,0.0,False,0.0,FMeasure,FMeasure,False,0.0
1,0,1,14,21,0,1,10,0.740740741,109,1.0,1,0.0,0.32,1,1,9.6,7,1.5,False,False,0.325,False,0.4133333333333333,False,0.5,FMeasure,FMeasure,False,0.4133120726816281
1,0,0,2,0,0,0,1,2.0,7,0.0,0,0.0,1.0,0,0,3.0,0,0.0,False,False,0.12135642135642136,False,0.0,False,0.0,FMeasure,FMeasure,False,0.0017929573693879863
1,0,2,2,1,2,0,2,2.0,2,0.0,0,0.0,0.875,0,0,0.0,1,1.0,False,False,0.0,False,0.0,False,0.0,FMeasure,FMeasure,False,0.0
2,0,7,17,91,0,7,14,2.0,54,0.0,0,0.566666667,1.0,1,4,2.857142857,1,0.9286,False,False,0.0,False,0.0,False,0.016666666666666666,FMeasure,FMeasure,False,0.0002509186737711313
1,0,5,41,0,2,4,14,0.775,254,0.75,1,0.0,0.257142857,0,0,14.375,3,1.5625,True,False,0.0,False,0.0,False,0.0,FMeasure,Accuracy,False,0.0
1,0,12,11,55,7,5,11,2.0,11,0.0,0,0.0,0.33766233799999995,0,0,0.0,1,1.0,False,True,0.8,True,0.8,True,0.8,FMeasure,FMeasure,True,0.8000000000000002
1,15,20,10,11,15,5,5,0.7777777779999999,39,1.0,2,0.0,0.476190476,0,0,4.1428571430000005,1,0.8571,False,False,0.0,False,0.16666666666666666,False,0.0,FMeasure,FMeasure,False,0.16256435423308385
2,0,8,17,78,0,8,13,2.0,49,0.0,0,0.5862068970000001,1.0,1,3,2.769230769,1,0.9231,False,False,0.13333333333333333,False,0.2428571428571429,False,0.2845238095238095,FMeasure,FMeasure,False,0.24183611213433728
2,0,5,7,1,1,4,1,2.0,17,0.0,0,0.909090909,0.75,1,2,7.5,1,0.5,False,False,0.0,False,0.0,False,0.0,FMeasure,FMeasure,False,0.0
1,0,15,42,16,0,15,10,0.757575758,354,1.0,5,0.0,0.242424242,0,0,28.0,4,1.5,False,False,0.0,False,0.0,False,0.0,FMeasure,FMeasure,False,0.0
2,0,5,7,1,1,4,1,2.0,17,0.0,0,0.909090909,0.75,1,2,7.5,1,0.5,False,False,0.0,False,0.0,False,0.0,FMeasure,FMeasure,False,0.0
1,0,17,60,10,1,16,2,0.732142857,495,1.0,3,0.0,0.2875,0,0,59.875,3,1.25,False,True,0.7,True,0.8,False,0.4,GMean,FMeasure,True,0.7924934260180752
1,0,0,10,1,0,0,2,2.0,45,0.0,0,0.0,0.5,0,0,21.5,4,2.0,False,False,0.0,False,0.1,False,0.0,FMeasure,FMeasure,False,0.09701292926847559
1,6,39,76,182,8,31,4,0.95625,495,1.0,4,0.0,0.111111111,0,0,21.80952381,2,1.0952,False,False,0.1,False,0.0,False,0.0,FMeasure,FMeasure,False,0.0015017664249524804
4,2,11,8,8,11,0,4,1.0,26,1.0,0,0.894736842,0.6,0,0,3.8,1,0.4,False,False,0.0,False,0.0,False,0.0,FMeasure,FMeasure,False,0.0
4,0,15,43,0,1,14,2,0.666666667,402,1.0,0,0.996168582,0.5555555560000001,2,3,198.5,17,8.5,False,False,0.0,False,0.1,False,0.1,FMeasure,FMeasure,False,0.09849240455244002
2,0,5,9,1,1,4,1,2.0,29,0.0,0,0.909090909,0.75,1,2,13.5,1,0.5,False,False,0.0,False,0.0,False,0.03333333333333333,FMeasure,FMeasure,False,0.0004684928593817896
1,0,3,9,1,0,3,1,1.0,26,0.0,1,0.0,1.0,0,0,11.5,0,0.0,False,False,0.01818181818181818,False,0.0,False,0.0,FMeasure,FMeasure,False,0.0002738747672384007
2,0,8,17,78,0,8,13,2.0,49,0.0,0,0.5862068970000001,1.0,1,3,2.769230769,1,0.9231,False,False,0.13333333333333333,False,0.2428571428571429,False,0.2845238095238095,FMeasure,FMeasure,False,0.24183611213433728
1,0,0,8,0,0,0,4,0.333333333,23,1.0,0,0.0,0.625,0,0,4.5,1,0.75,False,False,0.0,False,0.0,False,0.0,FMeasure,FMeasure,False,0.0
2,0,8,14,3,1,7,3,2.0,54,0.0,0,0.75,0.5555555560000001,0,0,17.0,2,1.0,False,False,0.0,False,0.0,False,0.1,FMeasure,FMeasure,False,0.0015260473725093736
2,0,9,19,78,0,9,13,2.0,57,0.0,0,0.5862068970000001,1.0,1,3,3.384615385,1,0.9231,False,False,0.4371428571428571,False,0.2,False,0.16666666666666669,FMeasure,FMeasure,False,0.2030677546827167
1,0,20,65,88,0,20,9,0.857142857,367,1.0,6,0.0,0.158974359,0,0,21.5,5,1.4375,False,False,0.0,False,0.1,False,0.0,FMeasure,FMeasure,False,0.09753861254174215
1,0,7,13,10,7,0,7,0.8,75,1.0,0,0.0,0.34375,0,0,7.75,2,0.875,True,False,0.0,False,0.0,False,0.0,FMeasure,FMeasure,False,0.0
2,0,8,17,78,0,8,13,2.0,49,0.0,0,0.5862068970000001,1.0,1,3,2.769230769,1,0.9231,False,False,0.13333333333333333,False,0.2428571428571429,False,0.2845238095238095,FMeasure,FMeasure,False,0.24183611213433728
1,0,0,2,0,0,0,1,2.0,77,0.0,0,0.0,1.0,0,0,3.0,0,0.0,False,False,0.12135642135642136,False,0.0,False,0.1,FMeasure,FMeasure,False,0.002757689967234992
5,0,16,6,3,15,1,2,1.5,16,1.0,0,1.0,0.666666667,0,0,4.0,0,0.0,False,False,0.0,False,0.0,False,0.0,FMeasure,FMeasure,False,0.0
2,0,7,17,21,1,7,7,2.0,73,0.0,0,0.25,0.428571429,0,0,9.428571429,2,1.0,False,False,0.0,False,0.0,False,0.1,FMeasure,FMeasure,False,0.0014904516048927932
1,0,14,46,260,10,4,28,0.89010989,443,1.0,3,0.0,0.183908046,1,1,13.82758621,8,1.4138,False,True,0.67,True,0.9,True,1.0,FMeasure,FMeasure,True,0.898040708947645
2,0,9,14,3,2,7,3,2.0,67,0.0,0,0.75,0.5555555560000001,0,0,21.33333333,3,1.3333,False,False,0.0,False,0.0,False,0.0,FMeasure,FMeasure,False,0.0
1,0,9,28,4,1,9,2,1.274509804,223,1.0,0,0.0,0.5,0,0,50.5,5,1.75,False,False,0.0,False,0.1,False,0.0,FMeasure,FMeasure,False,0.09740510671153654
2,0,8,15,3,1,7,3,2.0,63,0.0,0,0.75,0.5,0,0,20.0,2,1.0,False,False,0.13333333333333333,False,0.0,False,0.0,FMeasure,FMeasure,False,0.001992874993065827
1,0,8,11,55,3,5,11,2.0,11,0.0,0,0.0,0.348484848,0,0,0.0,1,1.0,False,False,0.5,False,0.5,False,0.45,FMeasure,FMeasure,False,0.49940383968484
1,0,0,2,0,0,0,1,2.0,38,0.0,0,0.0,1.0,0,0,3.0,0,0.0,True,False,0.12135642135642136,False,0.0,False,0.075,FMeasure,FMeasure,False,0.002555276323548209
1,0,2,12,31,2,0,10,0.86,64,1.0,0,0.0,0.681818182,0,0,4.363636364,1,0.8182,False,False,0.0,False,0.0,False,0.0,FMeasure,FMeasure,False,0.0
2,0,32,14,11,31,1,4,0.857142857,129,0.28571428600000004,6,0.764705882,0.4,1,1,19.33333333,3,1.0,True,False,0.0,False,0.1,False,0.0,FMeasure,FMeasure,False,0.09753861254174215
1,0,21,35,95,17,5,17,0.909090909,235,1.0,3,0.0,0.180555556,1,1,11.44444444,7,1.3889,False,False,0.4,False,0.4166666666666666,False,0.25,FMeasure,FMeasure,False,0.41464547889209113
2,0,8,17,78,0,8,13,2.0,49,0.0,0,0.5862068970000001,1.0,1,3,2.769230769,1,0.9231,False,False,0.07668803418803419,False,0.12852564102564099,False,0.2308369408369408,FMeasure,FMeasure,False,0.1291501503465276
2,0,7,14,3,1,6,3,2.0,46,0.0,0,0.75,0.5,0,0,14.33333333,1,0.6667,False,False,0.0,False,0.1,False,0.2,FMeasure,FMeasure,False,0.10004986926627911
2,0,13,39,9,0,13,1,1.0625,366,1.0,4,0.705882353,0.533333333,1,1,47.85714286,4,1.5714,False,False,0.15,False,0.2,False,0.2,FMeasure,FMeasure,False,0.19943354415600054
1,0,18,49,51,1,17,4,1.076923077,350,1.0,1,0.0,0.4,0,0,28.45454545,3,1.4545,True,True,0.8,True,0.55,True,0.7,FMeasure,FMeasure,True,0.5546096527235733
1,0,40,60,492,38,6,25,0.8402777779999999,441,1.0,2,0.0,0.148648649,1,1,10.702702699999998,7,1.4865,True,True,0.7583333333333334,True,0.7266666666666666,False,0.2333333333333333,FMeasure,FMeasure,True,0.7211802569614016
1,0,3,14,0,3,0,9,0.694444444,164,1.0,0,0.0,0.5,1,1,15.0,13,2.3,True,False,0.1,False,0.0,False,0.0,FMeasure,FMeasure,False,0.0011343356608003135
4,0,13,49,276,0,13,24,1.043478261,189,1.0,0,0.629032258,0.25,0,0,6.833333333,1,0.9583,False,False,0.0,False,0.05,False,0.0,FMeasure,FMeasure,False,0.048840327742875916
1,0,6,15,0,1,5,3,0.666666667,68,1.0,1,0.0,0.5555555560000001,0,0,15.25,3,1.0,False,False,0.0,False,0.0,False,0.0,FMeasure,FMeasure,False,0.0
2,0,4,10,1,0,4,2,2.0,30,0.0,0,0.666666667,0.75,0,0,14.0,2,1.0,False,False,0.0,False,0.0,False,0.0,FMeasure,FMeasure,False,0.0
2,0,4,14,11,3,1,4,0.875,141,0.25,7,0.764705882,0.4,1,1,21.16666667,3,1.0,False,False,0.09,False,0.0,False,0.0,FMeasure,FMeasure,False,0.0010211959289032403
2,0,8,14,3,1,7,3,2.0,52,0.0,0,0.75,0.5555555560000001,0,0,16.33333333,2,1.0,False,False,0.0,False,0.0,False,0.0,FMeasure,FMeasure,False,0.0
2,0,5,13,1,1,4,1,2.0,76,0.0,0,0.909090909,0.75,2,2,37.0,5,2.5,False,False,0.0,False,0.5,False,0.3,FMeasure,FMeasure,False,0.49196741354892676
1,0,8,5,10,7,1,5,2.0,5,0.0,0,0.0,0.44,0,0,0.0,1,1.0,False,False,0.0,False,0.0,False,0.0,FMeasure,FMeasure,False,0.0
2,0,9,19,78,0,9,13,2.0,81,0.0,0,0.5862068970000001,1.0,1,3,5.230769231,1,0.9231,True,False,0.0,False,0.0,False,0.0,FMeasure,FMeasure,False,0.0
2,0,7,25,2,1,7,1,1.142857143,91,1.0,1,0.857142857,0.4166666670000001,1,1,20.0,1,0.5,False,False,0.2,False,0.06666666666666668,False,0.0,FMeasure,FMeasure,False,0.06738940383363486
2,0,8,14,3,1,7,3,2.0,103,0.0,0,0.75,0.5555555560000001,0,0,33.33333333,5,2.0,False,False,0.0,False,0.0,False,0.028571428571428567,FMeasure,FMeasure,False,0.0003387530944521568
1,0,28,4,6,25,3,4,2.0,4,0.0,0,0.0,0.7,0,0,0.0,1,1.0,False,False,0.0,False,0.0,False,0.0,FMeasure,FMeasure,False,0.0
2,0,8,12,1,0,8,2,1.0,59,1.0,0,0.833333333,1.0,0,0,25.0,1,0.5,False,False,0.0,False,0.0,False,0.0,FMeasure,FMeasure,False,0.0
1,0,5,17,0,0,5,3,0.5,94,1.0,0,0.0,0.666666667,0,0,29.66666667,1,0.6667,False,False,0.0,False,0.0,False,0.0,FMeasure,FMeasure,False,0.0
1,0,9,6,15,7,2,6,2.0,6,0.0,0,0.0,0.466666667,0,0,0.0,1,1.0,False,False,0.0,False,0.0,False,0.0,FMeasure,FMeasure,False,0.0
1,0,7,5,10,5,2,5,2.0,5,0.0,0,0.0,0.44,0,0,0.0,1,1.0,False,False,0.0,False,0.0,False,0.0,FMeasure,FMeasure,False,0.0
1,0,4,5,0,4,0,3,0.833333333,22,1.0,0,0.0,0.75,0,0,4.0,1,0.5,False,False,0.0,False,0.0,False,0.0,FMeasure,FMeasure,False,0.0
2,0,2,14,11,1,1,4,0.666666667,81,0.666666667,2,0.764705882,0.4,1,1,12.0,3,1.0,False,False,0.0,False,0.0,False,0.0,FMeasure,FMeasure,False,0.0
1,0,3,1,0,2,1,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,False,False,0.0,False,0.0,False,0.0,FMeasure,FMeasure,False,0.0
1,0,2,13,3,2,0,1,2.0,90,0.0,0,0.0,0.444444444,0,0,29.0,6,2.6667,False,False,0.0,False,0.0,False,0.0,FMeasure,FMeasure,False,0.0
2,0,12,25,66,6,12,12,2.0,110,0.0,0,0.153846154,0.297619048,0,0,8.166666667000001,1,0.9167,True,True,0.6,True,0.8,True,0.7,FMeasure,FMeasure,True,0.7965499214409072
2,0,10,20,36,4,10,9,2.0,77,0.0,0,0.2,0.301587302,0,0,7.555555556,1,0.8889,False,False,0.0,False,0.0,False,0.1,FMeasure,FMeasure,False,0.0011831927784615598
2,0,8,14,3,1,7,3,2.0,55,0.0,0,0.75,0.5555555560000001,0,0,17.33333333,2,1.0,False,False,0.0,False,0.0,False,0.0,FMeasure,FMeasure,False,0.0
1,0,27,62,457,25,6,28,0.844594595,454,1.0,2,0.0,0.15,1,1,10.73684211,7,1.4737,False,False,0.4119047619047619,False,0.35,True,0.5416666666666666,FMeasure,FMeasure,False,0.3523808348523435
1,0,3,13,4,3,0,9,0.625,90,1.0,0,0.0,0.7222222220000001,0,0,8.666666667000001,1,0.7778,False,False,0.0,False,0.0,False,0.06666666666666668,FMeasure,FMeasure,False,0.0007899530940576743
1,0,0,2,0,0,0,1,2.0,32,0.0,0,0.0,1.0,0,0,3.0,0,0.0,False,False,0.2132251082251082,False,0.14321428571428568,True,0.6,FMeasure,FMeasure,False,0.1494092900318662
1,0,7,16,6,7,0,8,0.708333333,104,1.0,0,0.0,0.311111111,1,1,10.22222222,5,1.2222,False,False,0.0,False,0.0,False,0.02,FMeasure,FMeasure,False,0.0002370854394318235
2,0,8,19,91,0,8,14,2.0,86,0.0,0,0.566666667,1.0,1,4,5.1428571430000005,1,0.9286,False,False,0.034188034188034185,False,0.007692307692307694,False,0.00909090909090909,FMeasure,FMeasure,False,0.008009376074106083
1,0,36,16,40,36,0,10,0.818181818,119,0.75,0,0.0,0.3,1,1,8.583333332999999,7,1.4167,False,True,0.5066666666666666,False,0.0,False,0.2,FMeasure,FMeasure,False,0.008114783394024987
2,0,9,19,78,0,9,13,2.0,81,0.0,0,0.5862068970000001,1.0,1,3,5.230769231,1,0.9231,True,False,0.0,False,0.0,False,0.0,FMeasure,FMeasure,False,0.0
1,0,17,50,18,12,7,7,0.727272727,253,1.0,0,0.0,0.327272727,0,0,19.75,5,1.5833,False,False,0.425,False,0.15,False,0.3,FMeasure,FMeasure,False,0.1548931449478956
1,0,8,21,0,1,7,2,1.0,168,1.0,1,0.0,0.4,0,0,39.0,3,1.5,False,False,0.0,False,0.0,False,0.0,FMeasure,FMeasure,False,0.0
1,0,2,7,3,2,0,5,0.8,35,1.0,0,0.0,0.5555555560000001,0,0,4.333333333,1,0.6667,False,False,0.0,False,0.0,False,0.0,FMeasure,FMeasure,False,0.0
2,0,3,8,6,0,3,4,2.0,22,0.0,0,0.4,1.0,0,0,4.5,1,0.75,False,False,0.0,False,0.0,False,0.0,FMeasure,FMeasure,False,0.0
1,0,13,33,13,0,13,4,1.0,226,0.9,1,0.0,0.425,0,0,18.63636364,1,0.8182,False,False,0.1,False,0.1,False,0.0,FMeasure,FMeasure,False,0.09881563745493907
2,0,18,41,7,1,17,2,0.666666667,216,1.0,0,0.791666667,0.3666666670000001,1,3,34.5,5,2.3333,False,False,0.0,False,0.0,False,0.0,FMeasure,FMeasure,False,0.0
1,0,6,34,36,5,1,7,0.727272727,342,1.0,0,0.0,0.464285714,0,0,27.16666667,4,1.8333,False,False,0.0,False,0.0,False,0.05,FMeasure,FMeasure,False,0.0005924616525367774
1,0,34,141,383,0,34,32,0.892156863,684,1.0,8,0.0,0.111111111,0,0,18.28571429,6,1.3714,True,True,0.9,False,0.5,False,0.5,Accuracy,Accuracy,True,0.5871773093652037
2,0,10,42,2,0,10,1,1.125,262,1.0,1,0.8,0.5625,1,1,49.0,6,1.6,True,False,0.5,True,0.6,False,0.315,FMeasure,FMeasure,True,0.595491010760574
2,0,11,17,21,4,11,7,2.0,80,0.0,0,0.25,0.30952381,0,0,10.42857143,1,0.8571,False,False,0.0,False,0.0,False,0.0,FMeasure,FMeasure,False,0.0
1,0,9,11,55,7,2,11,2.0,11,0.0,0,0.0,0.311688312,0,0,0.0,1,1.0,True,True,0.6,False,0.4,True,0.85,FMeasure,FMeasure,False,0.40759627446280167
1,0,7,33,11,1,6,3,1.085714286,169,1.0,0,0.0,0.6,0,0,26.0,5,1.6667,False,False,0.0,False,0.0,False,0.0,FMeasure,FMeasure,False,0.0
1,0,21,43,20,0,21,8,0.854166667,252,1.0,5,0.0,0.204545455,0,0,26.33333333,5,1.5556,False,False,0.0,False,0.0,False,0.0,FMeasure,FMeasure,False,0.0
2,0,8,17,78,0,8,13,2.0,49,0.0,0,0.5862068970000001,1.0,1,3,2.769230769,1,0.9231,False,False,0.07668803418803419,False,0.12852564102564099,False,0.2308369408369408,FMeasure,FMeasure,False,0.1291501503465276
3,0,3,19,1,0,3,2,2.0,91,1.0,0,0.961538462,1.0,1,2,44.0,5,2.5,False,False,0.0,False,0.1,False,0.0,FMeasure,FMeasure,False,0.09768067240956939
2,0,5,9,6,0,5,4,2.0,38,0.0,0,0.4,0.4,0,0,8.5,1,0.75,False,False,0.0,False,0.1,False,0.0,FMeasure,FMeasure,False,0.0976812276472686
5,0,9,6,3,8,1,2,1.5,16,1.0,0,1.0,0.666666667,0,0,4.0,0,0.0,False,False,0.0,False,0.0,False,0.0,FMeasure,FMeasure,False,0.0
1,0,11,37,0,1,10,2,0.5,234,1.0,2,0.0,0.3666666670000001,0,0,45.0,4,2.2,False,False,0.0,False,0.0,False,0.1,FMeasure,FMeasure,False,0.00118489172162969
1,0,22,27,76,21,2,15,0.783333333,171,1.0,2,0.0,0.260416667,1,1,9.4375,7,1.4375,False,True,0.575,False,0.215,False,0.14,FMeasure,FMeasure,False,0.21819565216063466
1,0,6,14,2,6,0,7,0.7857142859999999,99,1.0,0,0.0,0.3,1,1,10.875,5,1.25,False,False,0.15714285714285714,False,0.08333333333333333,False,0.0,FMeasure,FMeasure,False,0.0831824621616126
1,0,3,7,6,3,0,4,2.0,17,0.0,0,0.0,1.0,0,0,3.25,1,0.75,False,False,0.0,False,0.0,False,0.0,FMeasure,FMeasure,False,0.0
1,0,6,2,1,4,2,2,2.0,2,0.0,0,0.0,0.583333333,0,0,0.0,1,1.0,False,False,0.0,False,0.0,False,0.0,FMeasure,FMeasure,False,0.0
2,0,12,31,2,0,12,1,1.0,179,1.0,3,0.857142857,0.583333333,1,1,41.0,4,1.25,False,False,0.1,False,0.1,False,0.1,FMeasure,FMeasure,False,0.09999999999999999
1,0,2,15,37,1,1,11,0.85,109,1.0,1,0.0,0.242424242,1,1,8.545454545,7,1.5455,False,False,0.03333333333333333,False,0.0,False,0.2,FMeasure,FMeasure,False,0.0027458257473150474
2,0,20,52,18,1,19,2,0.7857142859999999,360,1.0,0,0.7307692309999999,0.325,1,3,43.5,6,2.5,False,False,0.0,False,0.0,False,0.0,FMeasure,FMeasure,False,0.0
2,0,8,17,78,0,8,13,2.0,49,0.0,0,0.5862068970000001,1.0,1,3,2.769230769,1,0.9231,False,False,0.07668803418803419,False,0.12852564102564099,False,0.2308369408369408,FMeasure,FMeasure,False,0.1291501503465276
2,0,5,7,1,1,4,1,2.0,17,0.0,0,0.909090909,0.75,1,2,7.5,1,0.5,False,False,0.0,False,0.0,False,0.0,FMeasure,FMeasure,False,0.0
