wmc,dit,cbo,lcom,ca,ce,npm,dam,mfa,amc,buggy
4,1,13,6,6,7,3,0,0,5.75,TRUE
14,2,9,27,1,8,7,0.777778,0.478261,36.214286,TRUE
10,1,8,39,1,7,6,1,0,31.3,TRUE
0,1,0,0,0,0,0,0,0,0,TRUE
6.026139,1.01005,4.743984,3.372098,1,4.154201,2.409827,0.003561,0.162436,25.101556,FALSE
10,1,8,13,2,6,6,0.5,0,38.1,TRUE
3.358328,1.377038,3.435459,7.944044,0.082086,1.349055,1,0,0.554016,91.803071,FALSE
4,4,3,4,2,1,4,0,0.953488,18.75,TRUE
7.923191,5.380023,3.665144,4.52183,1.860403,3,1.209069,0,0.168049,41.265795,FALSE
6,6,9,9,1,9,1,0.5,0.993661,44.833333,TRUE
6.824359,2.777239,3.248009,9.504233,1.694094,3,1.181199,0,0.839273,88.337637,FALSE
13,2,5,48,0,5,11,0,0.6,18.461538,TRUE
2,6,4,1,2,3,1,0,0.998418,91,FALSE
4.098105,5.839371,3.837915,7.037681,0.720153,3,1.726772,0,0.066797,59.594873,FALSE
10,2,9,1,1,8,5,0.666667,0.578947,44.8,TRUE
5,2,4,8,1,3,3,1,0.870968,22.8,TRUE
7,5,12,0,7,6,4,1,0.993506,15.857143,TRUE
2.74516,2.833588,3.707586,2.820158,1.253008,3,6.237724,0,0.96653,56.202245,FALSE
4.66853,4.873021,3.522395,1.497744,0.393379,2.263939,1,0,0.110099,92.065365,FALSE
4.845274,3.297964,2.248524,0.488843,1.990746,2.938729,1.846452,0,0.979974,55.396797,FALSE
3,3,1,1,1,0,3,1,0.95122,5.333333,TRUE
8,1,6,0,5,1,8,1,0,18.125,TRUE
3,6,4,1,1,3,2,1,0.996992,18,TRUE
8,2,4,4,1,3,4,1,0.708333,31.125,TRUE
8,1,10,6,0,10,2,0,0,42.625,TRUE
3,2,5,3,2,3,3,0,0.928571,18,TRUE
3.208064,4.395942,3.110831,6.24436,0.593467,3,1.638175,0,0.083039,86.099694,FALSE
4.917278,5.24077,3.815616,0.959682,1.81878,0.64443,1.166228,0,0.985916,36.109837,FALSE
2,1,3,1,0,3,2,0,0,41.5,TRUE
1,1,8,0,8,0,1,0,0,0,TRUE
1,1,8,0,8,0,1,0,0,0,TRUE
2.007891,3.917565,3.871851,2.759173,0.423505,3,1.143624,0,0.480848,88.561616,FALSE
1,1,8,0,8,1,1,0,0,0,TRUE
5,1,9,10,0,9,2,0,0,28.8,TRUE
10,1,3,0,2,1,9,0,0,23.4,TRUE
8.271387,1.08841,5.319709,8.062293,0,3.197141,6.453132,0,0.844504,36.337373,FALSE
10,3,5,0,1,4,10,1,0.652174,15.8,TRUE
4,4,3,0,1,2,4,1,0.875,8.25,TRUE
2,1,3,1,1,2,2,0,0,63,TRUE
4,4,3,0,1,2,4,0,0.875,8.75,TRUE
7,1,2,0,1,1,7,0,0,33.428571,TRUE
8,2,0,28,0,0,8,0,0.65,1.625,TRUE
9,2,3,22,1,2,5,1,0.787879,11.222222,TRUE
2.917513,4.24695,0.822187,2.477634,0.042482,2.965154,1.926803,0,0.351166,51.384279,FALSE
8,2,10,18,6,4,7,0.75,0.571429,10.875,TRUE
2,1,2,1,2,0,2,0,0,28.5,TRUE
4.369825,1.799562,4.038639,5.536394,1,3.02639,2.478419,0.069228,0.870696,17.285269,FALSE
4,1,1,2,1,0,2,0,0,13.5,TRUE
9,3,2,0,1,1,8,1,0.876923,8.666667,TRUE
12,2,5,18,1,5,11,0.8,0.642857,15.666667,TRUE
11,1,9,29,5,5,8,0,0,16.636364,TRUE
6,2,5,3,0,5,6,1,0.615385,38.166667,TRUE
8,1,6,22,0,6,8,0,0,18.25,TRUE
2,1,2,0,1,1,1,1,0,8,TRUE
5,2,4,4,1,3,1,0.833333,0.85,37.8,TRUE
6,2,5,5,2,4,1,0.75,0.938462,14,TRUE
2.502366,1.81488,4.658867,1.069153,1,4.108145,3.821901,0.053113,0.788633,15.424431,FALSE
5,1,1,8,1,0,3,1,0,3.2,TRUE
4,2,4,4,3,1,1,0.333333,0.894737,8.5,TRUE
6,1,3,11,1,2,3,0.6,0,23.833333,TRUE
4,1,5,0,0,5,3,1,0,10,TRUE
10,2,6,9,0,6,6,0,0.884058,30.6,TRUE
2,1,7,1,0,7,2,0,0,6.5,TRUE
6.663977,2.875955,1.537634,6.57745,0.791233,2.98986,2.215111,0.100222,0.031839,21.97509,FALSE
1,1,8,0,7,1,1,0,0,0,TRUE
6,2,5,0,0,5,6,0,0.444444,9,TRUE
5.433805,2.798852,3.497281,0.753602,1,3.569982,3.095543,0.239299,0.968853,18.777362,FALSE
4,1,9,0,3,6,2,0,0,29.25,TRUE
10,3,8,0,0,8,5,0.2,0.825,41,TRUE
2,1,2,0,2,0,2,1,0,19.5,TRUE
2.321702,2.599911,3.404314,2.02421,1,4.772428,2.922107,0.135417,0.978742,17.655762,FALSE
8,1,3,28,1,2,4,0,0,10.125,TRUE
7,1,3,15,3,1,7,1,0,5.857143,TRUE
8,2,3,0,0,3,8,0,0.363636,9.375,TRUE
9,1,3,34,0,3,2,0,0,17.333333,TRUE
8,1,6,22,1,5,8,0,0,5.25,TRUE
3.614597,2.979254,5,4.701435,1,4.771247,3.175554,0.007578,0.567464,4.620014,FALSE
4.445794,1.815377,5.026262,12.094857,1.535462,3.536495,1.483959,0,0.064567,64.257867,FALSE
4,1,2,0,2,0,4,1,0,4,TRUE
4,1,7,4,0,7,2,0,0,32.25,TRUE
10,2,2,23,0,2,7,0,0.884058,28.1,TRUE
4.933807,3.915558,2.362275,0.268275,1.090361,1.133167,1.956671,0,0.977089,53.455497,FALSE
6.368504,3,4.784018,3.2327,1,4.814082,1.049661,0.128779,0.929505,6.145833,FALSE
5,1,0,0,0,0,2,0,0,51.4,TRUE
8,1,4.031006,19.367992,0,5.59566,2,0,0,27.843136,FALSE
6,1,4,9,2,2,4,0.333333,0,22.166667,TRUE
1,4,2,0,1,1,0,0,1,6,TRUE
2,1,3,0,1,2,2,0,0,4.5,TRUE
2,1,7,1,6,2,2,0,0,0,TRUE
9,2,3,8,0,3,7,0,0.897059,32.222222,FALSE
1,1,7,0,6,1,1,0,0,0,TRUE
8.307405,1.653919,3,8.755412,0,3,2.241673,0,0.430452,28.372902,FALSE
4,1,2,6,1,1,4,0,0,12.25,TRUE
1,3,4,0,4,0,1,0,1,4,TRUE
2,1.671393,4.660704,0.75728,1,3.055057,1,0,0.922666,14.086424,FALSE
7,1,5,21,4,1,7,0,0,0,TRUE
4,4,4,0,2,3,4,0,0.931818,10,TRUE
5.463518,2.723628,2.017919,2.904921,0.349307,0.877112,5.401139,0,0.910191,32.628541,FALSE
5,3,1,0,1,0,2,0,0.975207,32.8,FALSE
10,1,4,5,2,2,4,0,0,10.9,TRUE
4.911142,2.437139,5,1.879012,1,4.7867,1.27273,0.136286,0.401768,5.704767,FALSE
3,3,1,1,1,0,3,1,0.944444,8,TRUE
1,3,2,0,2,0,1,0,1,4,TRUE
2.364573,3,4.129645,1.917593,1,4.273266,1.365392,0.227243,0.927036,8.688685,FALSE
1,1,2,0,2,0,0,0,0,9,TRUE
2,2,3,0,1,3,1,0,0.983871,23.5,FALSE
2,2.060205,3.900595,0.560294,1,3.607171,1,0,0.984091,22.368342,FALSE
7,2,4,3,1,4,6,1,0.75,10.285714,TRUE
2,3,0,1,0,0,2,0,0.98,3.5,TRUE
3.241196,2.267667,0.545925,1.24561,0.804556,0,2,0,0.936316,37.65981,FALSE
5.056921,2.1483,3.17636,10.395938,1.3896,3,1.858291,0,0.457529,35.548079,FALSE
4.987301,1,0.30847,8.974471,0,1.680223,2,0,0,40.719155,FALSE
5.415295,2.159189,1.198912,9.744766,0.210841,0.199761,2,0,0.053306,32.659982,FALSE
7,3,5,7,1,5,4,0.333333,0.912281,9.142857,FALSE
7.548922,1,0.87628,10.976998,0,1.127425,1.271293,0,0,65.35163,FALSE
2,1,2,1,0,2,2,0,0,49,TRUE
3.78762,1.636947,0.630248,2.059292,0.775426,0,2,0,0.823486,38.301131,FALSE
5,2,2,8,1,1,5,0.5,0.764706,15.8,TRUE
8,1,5,24,0,5,2,0,0,40.125,TRUE
2,2.832853,3.479655,0.310754,1,3.94617,1,0,0.984504,7.316686,FALSE
2,1,1,1,0,1,2,0,0,28,TRUE
5.28741,2.286553,4.205439,4.183185,1,4.887386,3.868993,0.307436,0.671895,6.126617,FALSE
2,1,4,0,1,3,2,0,0,35.5,FALSE
4,3,6,6,2,4,4,0,0.945455,6.5,TRUE
3,1,0,3,0,0,2,0,0,43.333333,FALSE
7.524329,1,0.547531,4.141611,0,0.413914,2,0,0,32.329216,FALSE
4,2,1,6,1,0,3,0,0.8125,1.5,TRUE
5,1,1,10,0,1,4,0,0,10.6,TRUE
3,1,6,0,5,1,3,0.666667,0,11.666667,TRUE
8.692335,1.23957,3,9.131243,0,3,5.47392,0,0.461891,31.086595,FALSE
6.407069,1.078772,2.914753,7.838758,0.722176,0.556509,2,0,0.261318,30.80481,FALSE
1,1,3,0,2,1,1,0,0,0,TRUE
1,1,3,0,2,1,1,0,0,0,TRUE
2,1.962415,3.827351,0,1,3,1.300993,0,0.967247,27.850031,FALSE
2,1.38725,3.887179,0,1,3,1.734845,0,0.18058,32.310525,FALSE
5,1,0,4,0,0,2,0,0,14.8,TRUE
6,2,3,15,0,3,6,0,0.818182,4.333333,TRUE
7.815044,1,2.142354,6.942159,0,2.653567,2,0,0,32.599386,FALSE
2,1.930963,3,0.682637,1,3,1.323032,0,0.763107,8.629654,FALSE
8,1,7,14,0,7,2,0,0,37,TRUE
8.848695,1.034602,3,8.444152,0,3,4.412568,0,0.729653,31.921816,FALSE
7,1,2,15,0,2,1,0,0,22.428571,TRUE
2,3,1,1,1,0,2,0,0.933333,6.5,TRUE
4,2,2,6,0,2,4,0,0.571429,2,TRUE
3.132994,1.600876,0.192901,0.856658,0.296253,0,2,0,0.611639,40.364469,FALSE
3.072745,1.028202,0.80507,0.465834,0.929499,0,2,0,0.659556,34.695385,FALSE
2,1,3,1,0,3,2,0,0,4.5,TRUE
2,1,5,1,3,2,2,0,0,0,TRUE
7.175578,1,4.602096,21.044611,0,3.748616,2,0,0,36.337937,FALSE
4.67988,1,0.646587,3.158471,0,0.611934,2,0,0,38.84805,FALSE
3.077704,3,4.663954,4.96885,1,4.730663,2.95937,0.19982,0.950149,8.945644,FALSE
2,1,3,1,0,3,2,0,0,9,TRUE
2.120174,3,4.207607,4.331397,1,4.031034,3.437098,0.034539,0.952731,6.084082,FALSE
3.103719,2.823106,0.522001,2.94378,0.693156,0,2,0,0.400663,35.134561,FALSE
5.552808,1,2.9922,12.379951,0,2.333135,1.216407,0,0,37.537215,FALSE
2,1,1,1,0,1,2,0,0,6.5,TRUE
2,2.08719,3.427392,0.646364,1,3.889132,1,0,0.98443,18.450496,FALSE
2,1,5,1,1,4,1,0,0,4,FALSE
4,1,2,4,0,2,2,0,0,8,TRUE
2,2.690025,4.129505,1,1,4,1,0,0.808384,5.867296,FALSE
7,1,6,17,0,6,2,0,0,19.285714,TRUE
4,1,0,4,0,0,3,0,0,27.25,TRUE
4,2,5,4,2,3,4,0,0.727273,10.75,TRUE
5,1,1,0,0,1,2,0,0,30.8,TRUE
2,2.197255,3.494207,0.103736,1,3.076571,1,0,0.984598,9.980812,FALSE
7,1,6,11,0,6,3,0,0,13.857143,TRUE
5,1,1,10,1,0,5,0,0,10.2,TRUE
5,1,1,8,0,1,2,0,0,7.4,TRUE
2,1.476227,3.481088,1,1,3.864376,1.201082,0,0.127905,5.833526,FALSE
6,1,3,13,0,3,2,0,0,32.333333,FALSE
3,1,2,3,2,1,3,0,0,14.333333,TRUE
4,1,3,6,0,3,2,0,0,16,TRUE
5.993751,1,1.554891,6.624818,0,1.680209,2,0,0,42.545375,FALSE
2,1.574086,3,0.967456,1,3,1.160891,0,0.763385,11.641124,FALSE
2,1,3,1,1,3,2,0,0,4,FALSE
7,1,2,17,0,2,2,0,0,11.571429,TRUE
2,2.597765,3.725797,0.288885,1,3.496203,1,0,0.98479,6.156427,FALSE
2,1.608472,4,0.139614,1,3.94726,1.490613,0,0.581917,27.214369,FALSE
7,1,2,17,0,2,2,0,0,17.428571,TRUE
4,1,3,6,0,3,2,0,0,12.25,TRUE
2,1.632595,4.649897,1,1,4,1,0,0.257546,4.996543,FALSE
7,1,4,17,0,4,2,0,0,20.857143,TRUE
2,3,4,1,1,4,1,0,0.984848,6,FALSE
2,3,4,1,1,4,1,0,0.984848,6,FALSE
2,3,4,1,1,4,1,0,0.984848,6,FALSE
2,3,4,1,1,4,1,0,0.984848,6,FALSE
2,3,4,1,1,4,1,0,0.984848,6,FALSE
2,3,4,1,1,4,1,0,0.984848,6,FALSE
2,3,4,1,1,4,1,0,0.984848,6,FALSE
2,1,4.137634,1,1,3.032063,1.62536,0,0,4,FALSE
6,1,5,9,0,5,2,0,0,23.166667,TRUE
8.798636,1.336139,3,8.599227,0,3,3.645596,0,0.213824,32.297367,FALSE
7,1,2,15,0,2,2,0,0,15.285714,TRUE
7,1,3,17,0,3,2,0,0,13.571429,TRUE
2,1,2,1,1,1,1,0,0,3,TRUE
8,1,3,12,0,3,2,0,0,26.75,FALSE
2,1.092191,3,0.905896,1,3,1.873846,0,0.009345,12.196662,FALSE
4,1,3,4,1,2,2,0,0,15.5,TRUE
6,1,5,9,0,5,2,0,0,22.5,TRUE
7,1,4,17,0,4,2,0,0,20.714286,TRUE
2,2.327913,4.29648,1,1,4,1,0,0.678688,5.252168,FALSE
2,2.586978,3.582123,1,1,3.267898,1.693914,0,0.378391,5.025257,FALSE
3,1,3,3,1,2,3,0,0,2,TRUE
2,1,4,1,2,2,1,0,0,4,TRUE
