cbo,ca,ce,lcom3,cam,cbm,amc,buggy
2,1,1,0.436364,0.395833,0,19.666667,FALSE
12,2,10,0.75,0.263889,0,21,TRUE
9,1,9,0.85,0.296296,0,11.666667,TRUE
27,13,15,0.25,0.5,1,62.6,TRUE
10,1,9,0.75,0.3,0,67.6,TRUE
9,1,8,0.555556,0.385714,0,28.2,TRUE
16,4,14,0.604167,0.326531,1,36.571429,FALSE
5,5,0,2,0,0,0,TRUE
7,1,6,0,0.527778,0,15,TRUE
7,1,6,0.666667,0.333333,0,21,TRUE
7,4,4,1.076923,0.333333,0,22,TRUE
1,1,0,2,0,0,0,FALSE
14,4,12,0.628571,0.265625,2,45.375,FALSE
11,6,6,2,1,1,42.5,FALSE
13,0,13,0.5,0.428571,0,41.285714,TRUE
21,5,18,0.5,0.387755,2,59.428571,TRUE
7,1,6,1,0.583333,2,31.75,FALSE
18,0,18,0.8,0.357143,0,52,TRUE
6,0,6,0.333333,0.5,0,17,FALSE
14,0,14,0.75,0.44,1,63.2,TRUE
4,3,1,0.5,0.5,0,13.666667,FALSE
15,14,1,1.333333,0.55,0,0,TRUE
18,5,15,0.642857,0.28125,1,25.75,TRUE
1,0,1,2,0.875,0,35.25,FALSE
9,0,9,0.666667,0.4375,1,15.5,TRUE
8,0,8,1,0.416667,2,13.5,FALSE
14,0,14,2,0.44,0,46.8,TRUE
1,0,1,0,0.464286,0,20.142857,FALSE
18,4,14,0.763889,0.25,0,44.111111,TRUE
6,6,0,2,1,0,3,FALSE
2,1,1,0,0.555556,0,12.666667,FALSE
9,9,0,2,0.416667,0,15.5,TRUE
9,0,9,0.5,0.375,1,34.75,FALSE
17,4,15,0.416667,0.466667,0,60.4,FALSE
9,3,8,0.8,0.4,0,10.833333,TRUE
8,0,8,0.5,0.5,0,11.571429,FALSE
5,1,4,0.25,0.611111,0,37,FALSE
7,0,7,0.6,0.325,2,51.5,FALSE
4,1,3,0.555556,0.45,0,30.25,TRUE
5,0,5,0.75,0.44,0,5,TRUE
15,11,4,2,0.68,0,0,TRUE
2,0,2,0.416667,0.857143,0,7.714286,FALSE
5,1,4,0.4,0.5,0,33.5,FALSE
7,7,0,0.7,0.4,0,29.166667,FALSE
9,4,6,2,0.533333,2,15,FALSE
9,4,6,2,0.533333,2,15,FALSE
8,4,5,2,0.458333,3,10.5,FALSE
2,1,1,2,0.833333,2,4.5,FALSE
1,0,1,2,0.75,0,20,FALSE
4,1,3,2,0.5,0,9,FALSE
3,0,3,0.666667,0.333333,0,29.8,FALSE
9,0,9,2,0.44,0,3.4,TRUE
6,1,5,2,0.5,0,25.5,TRUE
2,2,0,0.416667,0.466667,0,19,FALSE
4,1,3,0.555556,0.45,0,27.25,TRUE
5,0,5,0.875,0.555556,0,18,TRUE
11,4,9,2,0.333333,2,33.5,FALSE
14,1,13,0.6,0.361111,0,47.666667,TRUE
4,1,3,2,0.5,1,6.666667,FALSE
11,4,9,2,0.333333,2,31.833333,FALSE
4,1,3,0.333333,0.583333,0,28,FALSE
4,0,4,0.916667,0.48,0,22.6,TRUE
3,2,1,2,0.916667,0,0,FALSE
8,4,6,0.25,0.433333,0,9.6,FALSE
3,3,0,0.611111,0.52381,0,4.714286,FALSE
8,4,6,0.25,0.433333,0,11.2,FALSE
2,2,0,0.5,0.5,0,30.333333,TRUE
6,2,4,0.25,0.433333,0,6.2,TRUE
8,0,8,0.333333,0.416667,0,25.666667,FALSE
1,1,0,0.444444,0.625,0,17.5,FALSE
2,0,2,2,0.666667,2,3,FALSE
2,0,2,2,0.666667,2,3,FALSE
2,0,2,2,0.666667,2,3,FALSE
2,0,2,2,0.666667,2,3,FALSE
7,1,6,0.4,0.458333,0,13.833333,FALSE
6,4,4,0.8,0.4,0,3.5,FALSE
6,4,4,0.8,0.4,0,3.5,FALSE
2,0,2,0.825,0.4,0,24.666667,TRUE
9,4,7,0.75,0.4,0,7,TRUE
6,2,4,2,1,0,0,FALSE
3,0,3,2,0.533333,0,4.666667,FALSE
3,0,3,2,0.533333,0,4.666667,FALSE
3,0,3,2,0.533333,0,4.666667,FALSE
5,1,4,2,0.666667,0,5.4,FALSE
6,4,4,0.875,0.4,0,6,TRUE
8,8,0,2,1,0,0,FALSE
2,1,2,2,0.555556,0,0,FALSE
10,4,8,2,0.371429,2,5.4,FALSE
0,0,0,2,0.5,0,11.5,FALSE
1,1,0,0.333333,0.625,0,4.5,FALSE
10,6,6,2,0.4,2,5.2,FALSE
7,1,6,0.333333,0.541667,0,30.25,FALSE
11,5,8,2,0.4,2,11.4,FALSE
7,1,6,0.166667,0.5,0,22,FALSE
2,0,2,2,0.666667,0,4,FALSE
2,0,2,2,0.666667,0,4,FALSE
9,4,7,2,0.416667,1,32.25,FALSE
9,5,6,2,0.4,2,6.8,FALSE
5,4,3,2,0.533333,0,4.666667,FALSE
5,4,3,2,0.533333,0,4.666667,FALSE
5,4,3,2,0.533333,0,4.666667,FALSE
8,7,1,2,1,0,0,FALSE
7,7,0,2,1,0,0,FALSE
9,4,7,2,0.392857,0,4.75,TRUE
6,1,5,2,0.5,0,7.5,FALSE
2,0,2,0.95,0.466667,0,16.666667,FALSE
3,2,1,2,1,0,0,FALSE
2,2,0,2,1,0,0,FALSE
4,2,2,2,0.5,0,0,FALSE
6,2,4,1.5,0.583333,0,0,TRUE
7,4,5,2,0.392857,0,6,TRUE
9,6,3,2,0.933333,0,0,TRUE
6,6,0,2,0.5,0,0,FALSE
6,4,4,2,0.416667,0,4,FALSE
2,0,2,2,0.666667,0,2,FALSE
4,3,1,2,1,0,0,FALSE
6,5,1,2,1,0,0,FALSE
7,4,4,2,0.533333,1,4.333333,FALSE
7,4,4,2,0.533333,1,4.333333,FALSE
5,5,1,2,0.75,0,0,FALSE
5,4,1,2,1,0,0,FALSE
5,4,1,2,1,0,0,FALSE
5,4,1,2,1,0,0,FALSE
9,8,1,2,0.666667,0,0,FALSE
10,4,8,2,0.392857,1,8.25,FALSE
5,5,0,2,1,0,0,FALSE
3,1,2,2,0.666667,0,12.666667,FALSE
4,0,4,2,0.5,0,5,FALSE
8,7,1,2,0.625,0,0,TRUE
11,4,9,2,0.4,1,25,TRUE
11,4,9,2,0.4,1,25,TRUE
11,4,9,2,0.4,1,24.8,TRUE
11,4,9,2,0.4,1,24.8,TRUE
9,5,6,2,0.4,1,9.6,FALSE
9,5,6,2,0.4,1,9.6,FALSE
8,4,6,2,0.416667,1,15.75,FALSE
4,2,2,2,0.555556,0,0,FALSE
8,4,6,2,0.416667,1,9.75,FALSE
4,2,2,2,0.666667,0,0,FALSE
6,6,0,2,0.666667,0,0,FALSE
6,6,0,2,0.666667,0,0,FALSE
3,2,1,2,0.833333,0,0,FALSE
